LumiCycle: Ca1a-Bmal1-1 (Raw),,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
1.54861,1051.257,1.54861,797.416,1.54861,1005.705,1.54861,865.149,1.54861,1757.03
1.55556,1050.029,1.55556,789.099,1.55556,995.361,1.55556,865.921,1.55556,1758.089
1.5625,1048.964,1.5625,785.591,1.5625,990.118,1.5625,849.206,1.5625,1768.625
1.56944,1049.087,1.56944,784.958,1.56944,977.674,1.56944,836.156,1.56944,1768.341
1.57639,1049.786,1.57639,772.224,1.57639,959.475,1.57639,822.147,1.57639,1783.787
1.58333,1042.921,1.58333,773.5,1.58333,955.831,1.58333,816.178,1.58333,1778.135
1.59028,1045.537,1.59028,772.812,1.59028,948.122,1.59028,800.795,1.59028,1785.36
1.59722,1039.013,1.59722,763.208,1.59722,936.984,1.59722,798.266,1.59722,1806.755
1.60417,1038.286,1.60417,767.616,1.60417,932.652,1.60417,792.965,1.60417,1804.786
1.61111,1033.728,1.61111,759.954,1.61111,923.07,1.61111,781.037,1.61111,1817.497
1.61806,1036.345,1.61806,756.899,1.61806,917.927,1.61806,773.564,1.61806,1826.259
1.625,1034.562,1.625,754.135,1.625,904.201,1.625,772.553,1.625,1827.59
1.63194,1026.991,1.63194,750.634,1.63194,894.013,1.63194,768.236,1.63194,1820.584
1.63889,1039.5,1.63889,748.776,1.63889,890.861,1.63889,758.63,1.63889,1840.93
1.64583,1023.6,1.64583,743.187,1.64583,884.211,1.64583,753.59,1.64583,1845.379
1.65278,1030.597,1.65278,740.953,1.65278,879.74,1.65278,751.776,1.65278,1854.025
1.65972,1024.581,1.65972,737.515,1.65972,872.504,1.65972,750.101,1.65972,1860.763
1.66667,1029.167,1.66667,730.595,1.66667,873.455,1.66667,740.895,1.66667,1859.178
1.67361,1026.861,1.67361,732.471,1.67361,862.549,1.67361,741.646,1.67361,1871.841
1.68056,1031.218,1.68056,730.037,1.68056,858.487,1.68056,744.858,1.68056,1889.763
1.6875,1029.498,1.6875,724.548,1.6875,855.54,1.6875,742.034,1.6875,1906.551
1.69444,1029.313,1.69444,734.226,1.69444,857.2,1.69444,743.503,1.69444,1904.392
1.70139,1034.616,1.70139,729.234,1.70139,844.81,1.70139,734.464,1.70139,1930.074
1.70833,1029.392,1.70833,723.346,1.70833,856.762,1.70833,740.305,1.70833,1930.347
1.71528,1028.433,1.71528,728.984,1.71528,848.752,1.71528,742.212,1.71528,1945.848
1.72222,1031.232,1.72222,725.924,1.72222,838.563,1.72222,740.746,1.72222,1963.739
1.72917,1028.707,1.72917,730.527,1.72917,847.338,1.72917,744.843,1.72917,1973.008
1.73611,1033.597,1.73611,725.204,1.73611,845.999,1.73611,745.441,1.73611,1977.516
1.74306,1030.439,1.74306,726.424,1.74306,841.116,1.74306,742.437,1.74306,2008.628
1.75,1036.498,1.75,733.592,1.75,843.61,1.75,754.191,1.75,2013.988
1.75694,1032.445,1.75694,728.762,1.75694,847.264,1.75694,753.032,1.75694,2036.534
1.76389,1032.155,1.76389,727.664,1.76389,842.614,1.76389,758.42,1.76389,2050.527
1.77083,1037.043,1.77083,736.185,1.77083,846.39,1.77083,760.15,1.77083,2078.138
1.77778,1029.147,1.77778,727.671,1.77778,848.306,1.77778,770.468,1.77778,2081.926
1.78472,1036.193,1.78472,725.705,1.78472,854.454,1.78472,776.813,1.78472,2107.262
1.79167,1041.792,1.79167,735.551,1.79167,846.894,1.79167,780.276,1.79167,2128.774
1.79861,1051.094,1.79861,733.284,1.79861,856.422,1.79861,784.356,1.79861,2140.853
