,,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
1.57639,1266.117,1.57639,726.765,1.57639,723.642,1.57639,1394.701,1.57639,1353.206
1.58333,1280.5,1.58333,733.675,1.58333,724.844,1.58333,1410.272,1.58333,1362.267
1.59028,1296.465,1.59028,748.378,1.59028,730.339,1.59028,1426.301,1.59028,1377.539
1.59722,1318.545,1.59722,743.838,1.59722,730.378,1.59722,1448.864,1.59722,1396.662
1.60417,1331.208,1.60417,750.029,1.60417,730.019,1.60417,1463.733,1.60417,1413.85
1.61111,1342.163,1.61111,752.366,1.61111,733.976,1.61111,1490.811,1.61111,1429.532
1.61806,1359.626,1.61806,762.49,1.61806,741.33,1.61806,1499.091,1.61806,1451.629
1.625,1374.941,1.625,766.127,1.625,735.04,1.625,1511.223,1.625,1458.698
1.63194,1393.034,1.63194,769.489,1.63194,743.648,1.63194,1525.548,1.63194,1476.691
1.63889,1398.442,1.63889,771.722,1.63889,749.064,1.63889,1536.973,1.63889,1485.178
1.64583,1412.123,1.64583,781.815,1.64583,758.59,1.64583,1558.034,1.64583,1503.573
1.65278,1431.827,1.65278,788.348,1.65278,750.396,1.65278,1566.915,1.65278,1519.128
1.65972,1431.911,1.65972,796.197,1.65972,751.519,1.65972,1583.192,1.65972,1531.28
1.66667,1452.642,1.66667,799.536,1.66667,754.033,1.66667,1602.389,1.66667,1538.473
1.67361,1461.534,1.67361,802.279,1.67361,763.098,1.67361,1609.651,1.67361,1544.572
1.68056,1474.953,1.68056,807.949,1.68056,769.128,1.68056,1627.856,1.68056,1565.057
1.6875,1486.821,1.6875,817.918,1.6875,762.783,1.6875,1629.908,1.6875,1577.507
1.69444,1478.319,1.69444,818.367,1.69444,762.735,1.69444,1637.008,1.69444,1579.317
1.70139,1498.03,1.70139,826.803,1.70139,770.236,1.70139,1657.218,1.70139,1587.923
1.70833,1507.994,1.70833,832.344,1.70833,770.129,1.70833,1670.696,1.70833,1595.509
1.71528,1512.97,1.71528,837.161,1.71528,778.904,1.71528,1668.22,1.71528,1608.475
1.72222,1519.563,1.72222,845.456,1.72222,775.686,1.72222,1684.016,1.72222,1606.33
1.72917,1534.828,1.72917,853.625,1.72917,784.482,1.72917,1690.791,1.72917,1614.613
1.73611,1542.44,1.73611,851.978,1.73611,779.993,1.73611,1683.04,1.73611,1617.062
1.74306,1536.216,1.74306,863.055,1.74306,780.296,1.74306,1686.137,1.74306,1620.203
1.75,1543.672,1.75,866.228,1.75,790.367,1.75,1705.591,1.75,1628.954
1.75694,1559.918,1.75694,874.275,1.75694,791.514,1.75694,1708.864,1.75694,1628.743
1.76389,1554.541,1.76389,874.308,1.76389,785.194,1.76389,1710.214,1.76389,1632.491
1.77083,1551.312,1.77083,879.219,1.77083,791.584,1.77083,1707.958,1.77083,1641.026
1.77778,1558.498,1.77778,885.883,1.77778,787.321,1.77778,1710.685,1.77778,1627.104
1.78472,1560.879,1.78472,897.406,1.78472,791.071,1.78472,1711.059,1.78472,1626.124
1.79167,1563.4,1.79167,902.409,1.79167,796.358,1.79167,1727.279,1.79167,1634.662
1.79861,1564.907,1.79861,910.376,1.79861,790.345,1.79861,1712.548,1.79861,1634.998
1.80556,1563.434,1.80556,915.945,1.80556,790.352,1.80556,1721.49,1.80556,1629.303
1.8125,1568.277,1.8125,916.102,1.8125,797.848,1.8125,1716.93,1.8125,1626.51
1.81944,1566.736,1.81944,914.943,1.81944,799.476,1.81944,1710.763,1.81944,1621.312
1.82639,1561.023,1.82639,921.148,1.82639,801.904,1.82639,1725.187,1.82639,1623.284
1.83333,1566.598,1.83333,935.376,1.83333,804.602,1.83333,1729.17,1.83333,1625.322
1.84028,1566.859,1.84028,940.784,1.84028,799.452,1.84028,1714.708,1.84028,1617.711
1.84722,1561.206,1.84722,945.656,1.84722,799.505,1.84722,1734.109,1.84722,1619.872
1.85417,1558.54,1.85417,956.852,1.85417,805.53,1.85417,1713.69,1.85417,1613.994
1.86111,1559.132,1.86111,958.569,1.86111,797.056,1.86111,1703.679,1.86111,1601.529
1.86806,1553.026,1.86806,965.464,1.86806,808.001,1.86806,1713.408,1.86806,1606.54
1.875,1547.35,1.875,967.701,1.875,805.141,1.875,1709.247,1.875,1599.055
1.88194,1554.058,1.88194,971.813,1.88194,811.31,1.88194,1705.134,1.88194,1586.97
1.88889,1556.385,1.88889,969.274,1.88889,802.884,1.88889,1694.989,1.88889,1584.211
1.89583,1538.803,1.89583,981.282,1.89583,807.887,1.89583,1685.722,1.89583,1574.929
1.90278,1528.577,1.90278,993.133,1.90278,810.777,1.90278,1685.872,1.90278,1576.783
1.90972,1535.865,1.90972,986.599,1.90972,811.324,1.90972,1684.251,1.90972,1561.892
1.91667,1531.001,1.91667,993.66,1.91667,801.933,1.91667,1683.603,1.91667,1547.433
1.92361,1508.269,1.92361,992.3,1.92361,803.158,1.92361,1657.84,1.92361,1545.474
1.93056,1510.4,1.93056,1000.793,1.93056,804.446,1.93056,1657.367,1.93056,1544.615
1.9375,1506.655,1.9375,1003.519,1.9375,796.719,1.9375,1650.653,1.9375,1524.608
